Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Role
Average,Poor,Professional,Average,Beginner,Average,Intermediate,Excellent,Average,Poor,Average,Not Interested,Professional,Professional,Poor,Excellent,Poor,Application Support Engineer
Poor,Beginner,Not Interested,Average,Average,Average,Beginner,Excellent,Poor,Average,Professional,Not Interested,Intermediate,Professional,Beginner,Excellent,Beginner,Application Support Engineer
Not Interested,Excellent,Average,Professional,Beginner,Average,Not Interested,Poor,Intermediate,Beginner,Beginner,Professional,Average,Professional,Average,Excellent,Intermediate,Application Support Engineer
Not Interested,Excellent,Beginner,Average,Intermediate,Average,Average,Beginner,Intermediate,Professional,Average,Beginner,Intermediate,Professional,Poor,Excellent,Poor,Application Support Engineer
Professional,Poor,Beginner,Average,Intermediate,Average,Beginner,Average,Average,Professional,Professional,Beginner,Poor,Professional,Not Interested,Excellent,Intermediate,Application Support Engineer
Not Interested,Not Interested,Poor,Not Interested,Beginner,Average,Poor,Intermediate,Poor,Excellent,Beginner,Beginner,Beginner,Professional,Beginner,Excellent,Beginner,Application Support Engineer
Poor,Not Interested,Not Interested,Average,Intermediate,Average,Beginner,Average,Intermediate,Poor,Not Interested,Intermediate,Average,Professional,Intermediate,Excellent,Beginner,Application Support Engineer
Poor,Beginner,Intermediate,Professional,Intermediate,Average,Average,Average,Average,Excellent,Beginner,Average,Beginner,Professional,Poor,Excellent,Professional,Application Support Engineer
Average,Beginner,Average,Not Interested,Average,Average,Average,Not Interested,Beginner,Intermediate,Not Interested,Professional,Average,Professional,Poor,Excellent,Excellent,Application Support Engineer
Intermediate,Poor,Professional,Beginner,Beginner,Average,Intermediate,Excellent,Not Interested,Beginner,Average,Not Interested,Beginner,Professional,Poor,Excellent,Average,Application Support Engineer
Poor,Average,Not Interested,Not Interested,Poor,Average,Beginner,Beginner,Poor,Not Interested,Not Interested,Beginner,Average,Professional,Professional,Excellent,Professional,Application Support Engineer
Excellent,Professional,Poor,Intermediate,Beginner,Average,Average,Beginner,Excellent,Intermediate,Average,Average,Poor,Professional,Not Interested,Excellent,Intermediate,Application Support Engineer
Beginner,Poor,Intermediate,Beginner,Intermediate,Average,Poor,Poor,Not Interested,Average,Poor,Not Interested,Not Interested,Professional,Average,Excellent,Professional,Application Support Engineer
Not Interested,Intermediate,Professional,Professional,Average,Average,Poor,Beginner,Beginner,Poor,Average,Not Interested,Average,Professional,Intermediate,Excellent,Not Interested,Application Support Engineer
Intermediate,Average,Intermediate,Not Interested,Beginner,Average,Poor,Beginner,Beginner,Excellent,Poor,Not Interested,Poor,Professional,Not Interested,Excellent,Intermediate,Application Support Engineer
Beginner,Beginner,Intermediate,Beginner,Intermediate,Average,Average,Beginner,Intermediate,Beginner,Average,Not Interested,Beginner,Professional,Beginner,Excellent,Not Interested,Application Support Engineer
Poor,Not Interested,Not Interested,Average,Excellent,Average,Beginner,Beginner,Intermediate,Not Interested,Intermediate,Beginner,Beginner,Professional,Average,Excellent,Beginner,Application Support Engineer
Intermediate,Not Interested,Intermediate,Intermediate,Beginner,Average,Beginner,Poor,Not Interested,Poor,Professional,Poor,Average,Professional,Excellent,Excellent,Not Interested,Application Support Engineer
Beginner,Beginner,Excellent,Beginner,Professional,Average,Poor,Intermediate,Average,Not Interested,Beginner,Not Interested,Not Interested,Professional,Beginner,Excellent,Not Interested,Application Support Engineer
Intermediate,Professional,Beginner,Excellent,Beginner,Average,Poor,Poor,Average,Average,Beginner,Professional,Professional,Professional,Beginner,Excellent,Intermediate,Application Support Engineer
Professional,Intermediate,Not Interested,Beginner,Beginner,Average,Excellent,Intermediate,Excellent,Beginner,Average,Professional,Beginner,Professional,Not Interested,Excellent,Average,Application Support Engineer
Beginner,Intermediate,Beginner,Average,Average,Average,Intermediate,Not Interested,Poor,Intermediate,Not Interested,Not Interested,Beginner,Professional,Average,Excellent,Average,Application Support Engineer
Not Interested,Intermediate,Excellent,Beginner,Not Interested,Average,Average,Not Interested,Poor,Average,Poor,Average,Beginner,Professional,Not Interested,Excellent,Poor,Application Support Engineer
Intermediate,Intermediate,Beginner,Poor,Professional,Average,Beginner,Beginner,Not Interested,Beginner,Average,Beginner,Beginner,Professional,Poor,Excellent,Beginner,Application Support Engineer
Poor,Beginner,Intermediate,Average,Intermediate,Average,Poor,Poor,Beginner,Excellent,Intermediate,Professional,Intermediate,Professional,Professional,Excellent,Average,Application Support Engineer
Average,Average,Not Interested,Not Interested,Average,Average,Not Interested,Average,Intermediate,Intermediate,Average,Excellent,Not Interested,Professional,Intermediate,Excellent,Poor,Application Support Engineer
Poor,Not Interested,Average,Intermediate,Not Interested,Average,Poor,Intermediate,Beginner,Intermediate,Average,Beginner,Average,Professional,Intermediate,Excellent,Average,Application Support Engineer
Poor,Not Interested,Poor,Intermediate,Beginner,Average,Beginner,Intermediate,Poor,Average,Average,Intermediate,Beginner,Professional,Beginner,Excellent,Average,Application Support Engineer
Intermediate,Intermediate,Poor,Beginner,Poor,Average,Average,Beginner,Not Interested,Intermediate,Excellent,Average,Intermediate,Professional,Beginner,Excellent,Not Interested,Application Support Engineer
Not Interested,Average,Intermediate,Not Interested,Beginner,Average,Poor,Professional,Poor,Average,Poor,Average,Not Interested,Professional,Beginner,Excellent,Beginner,Application Support Engineer
Intermediate,Beginner,Average,Beginner,Poor,Average,Poor,Poor,Average,Average,Beginner,Poor,Intermediate,Professional,Average,Excellent,Professional,Application Support Engineer
Poor,Beginner,Average,Average,Intermediate,Average,Excellent,Not Interested,Not Interested,Intermediate,Beginner,Average,Professional,Professional,Professional,Excellent,Beginner,Application Support Engineer
Poor,Excellent,Average,Professional,Excellent,Average,Beginner,Not Interested,Poor,Excellent,Not Interested,Intermediate,Excellent,Professional,Poor,Excellent,Beginner,Application Support Engineer
Average,Average,Intermediate,Average,Not Interested,Average,Poor,Excellent,Intermediate,Beginner,Poor,Not Interested,Intermediate,Professional,Intermediate,Excellent,Average,Application Support Engineer
Intermediate,Not Interested,Average,Beginner,Professional,Average,Poor,Average,Beginner,Beginner,Beginner,Beginner,Average,Professional,Intermediate,Excellent,Excellent,Application Support Engineer
Not Interested,Intermediate,Average,Beginner,Intermediate,Average,Professional,Not Interested,Not Interested,Poor,Not Interested,Beginner,Average,Professional,Not Interested,Excellent,Average,Application Support Engineer
Average,Intermediate,Beginner,Not Interested,Intermediate,Average,Average,Poor,Poor,Average,Average,Poor,Intermediate,Professional,Average,Excellent,Intermediate,Application Support Engineer
Intermediate,Beginner,Average,Beginner,Intermediate,Average,Professional,Beginner,Professional,Average,Average,Poor,Professional,Professional,Professional,Excellent,Beginner,Application Support Engineer
Average,Poor,Professional,Average,Beginner,Average,Not Interested,Beginner,Excellent,Average,Average,Not Interested,Not Interested,Professional,Excellent,Excellent,Not Interested,Application Support Engineer
Beginner,Professional,Average,Poor,Professional,Average,Not Interested,Professional,Average,Not Interested,Beginner,Poor,Poor,Professional,Poor,Excellent,Intermediate,Application Support Engineer
Not Interested,Poor,Average,Poor,Intermediate,Average,Not Interested,Not Interested,Average,Intermediate,Beginner,Excellent,Poor,Professional,Poor,Excellent,Beginner,Application Support Engineer
Average,Beginner,Poor,Average,Average,Average,Beginner,Beginner,Beginner,Intermediate,Not Interested,Professional,Poor,Professional,Not Interested,Excellent,Average,Application Support Engineer
Not Interested,Beginner,Beginner,Professional,Average,Average,Average,Not Interested,Intermediate,Beginner,Average,Professional,Not Interested,Professional,Beginner,Excellent,Average,Application Support Engineer
Intermediate,Average,Beginner,Poor,Intermediate,Average,Professional,Excellent,Not Interested,Beginner,Average,Not Interested,Beginner,Professional,Average,Excellent,Poor,Application Support Engineer
Beginner,Poor,Average,Excellent,Beginner,Average,Average,Beginner,Intermediate,Professional,Average,Average,Beginner,Professional,Poor,Excellent,Beginner,Application Support Engineer
Intermediate,Poor,Beginner,Not Interested,Average,Average,Average,Professional,Poor,Not Interested,Intermediate,Poor,Not Interested,Professional,Beginner,Excellent,Not Interested,Application Support Engineer
Professional,Average,Excellent,Professional,Average,Average,Average,Not Interested,Beginner,Average,Average,Intermediate,Intermediate,Professional,Intermediate,Excellent,Average,Application Support Engineer
Not Interested,Average,Beginner,Professional,Not Interested,Average,Poor,Not Interested,Intermediate,Beginner,Poor,Poor,Poor,Professional,Intermediate,Excellent,Not Interested,Application Support Engineer
Beginner,Excellent,Beginner,Excellent,Average,Average,Poor,Intermediate,Beginner,Beginner,Not Interested,Average,Beginner,Professional,Intermediate,Excellent,Not Interested,Application Support Engineer
Beginner,Poor,Poor,Beginner,Average,Average,Excellent,Beginner,Average,Not Interested,Beginner,Poor,Poor,Professional,Excellent,Excellent,Professional,Application Support Engineer
Average,Intermediate,Intermediate,Intermediate,Intermediate,Average,Average,Poor,Poor,Not Interested,Beginner,Not Interested,Poor,Professional,Poor,Excellent,Poor,Application Support Engineer
Not Interested,Poor,Not Interested,Intermediate,Poor,Average,Poor,Not Interested,Intermediate,Not Interested,Poor,Not Interested,Intermediate,Professional,Excellent,Excellent,Professional,Application Support Engineer
Beginner,Not Interested,Poor,Not Interested,Beginner,Average,Beginner,Professional,Intermediate,Professional,Beginner,Not Interested,Intermediate,Professional,Excellent,Excellent,Not Interested,Application Support Engineer
Professional,Poor,Beginner,Average,Average,Average,Beginner,Professional,Average,Intermediate,Not Interested,Beginner,Average,Professional,Poor,Excellent,Intermediate,Application Support Engineer
Average,Intermediate,Professional,Professional,Not Interested,Average,Average,Intermediate,Not Interested,Average,Poor,Intermediate,Average,Professional,Poor,Excellent,Not Interested,Application Support Engineer
Intermediate,Excellent,Poor,Intermediate,Poor,Average,Average,Professional,Average,Average,Intermediate,Beginner,Not Interested,Professional,Beginner,Excellent,Not Interested,Application Support Engineer
Average,Professional,Not Interested,Average,Average,Average,Intermediate,Beginner,Not Interested,Excellent,Average,Intermediate,Poor,Professional,Intermediate,Excellent,Professional,Application Support Engineer
Not Interested,Poor,Intermediate,Beginner,Average,Average,Beginner,Average,Intermediate,Intermediate,Intermediate,Professional,Beginner,Professional,Beginner,Excellent,Beginner,Application Support Engineer
Average,Poor,Average,Average,Intermediate,Average,Not Interested,Beginner,Poor,Average,Beginner,Beginner,Average,Professional,Professional,Excellent,Professional,Application Support Engineer
Professional,Professional,Poor,Excellent,Intermediate,Average,Average,Beginner,Intermediate,Beginner,Not Interested,Poor,Average,Professional,Beginner,Excellent,Poor,Application Support Engineer
Poor,Not Interested,Beginner,Professional,Intermediate,Average,Not Interested,Intermediate,Average,Not Interested,Intermediate,Not Interested,Not Interested,Professional,Poor,Excellent,Intermediate,Application Support Engineer
Intermediate,Beginner,Beginner,Beginner,Average,Average,Beginner,Poor,Beginner,Average,Average,Professional,Intermediate,Professional,Poor,Excellent,Professional,Application Support Engineer
Average,Beginner,Intermediate,Average,Average,Average,Poor,Professional,Beginner,Beginner,Average,Intermediate,Intermediate,Professional,Beginner,Excellent,Intermediate,Application Support Engineer
Poor,Beginner,Beginner,Professional,Average,Average,Professional,Average,Professional,Beginner,Average,Not Interested,Intermediate,Professional,Poor,Excellent,Beginner,Application Support Engineer
Average,Excellent,Beginner,Professional,Poor,Average,Poor,Beginner,Intermediate,Not Interested,Intermediate,Not Interested,Intermediate,Professional,Professional,Excellent,Professional,Application Support Engineer
Professional,Excellent,Professional,Not Interested,Professional,Average,Professional,Professional,Intermediate,Poor,Excellent,Not Interested,Average,Professional,Not Interested,Excellent,Poor,Application Support Engineer
Not Interested,Not Interested,Beginner,Beginner,Not Interested,Average,Average,Beginner,Beginner,Poor,Intermediate,Not Interested,Poor,Professional,Beginner,Excellent,Poor,Application Support Engineer
Average,Not Interested,Average,Intermediate,Professional,Average,Beginner,Average,Not Interested,Beginner,Average,Average,Not Interested,Professional,Average,Excellent,Beginner,Application Support Engineer
Intermediate,Poor,Not Interested,Average,Professional,Average,Beginner,Average,Not Interested,Intermediate,Average,Intermediate,Average,Professional,Intermediate,Excellent,Poor,Application Support Engineer
Beginner,Beginner,Not Interested,Average,Not Interested,Average,Professional,Beginner,Beginner,Not Interested,Intermediate,Average,Intermediate,Professional,Beginner,Excellent,Beginner,Application Support Engineer
Excellent,Poor,Average,Excellent,Excellent,Average,Not Interested,Beginner,Not Interested,Intermediate,Beginner,Poor,Poor,Professional,Professional,Excellent,Average,Application Support Engineer
Beginner,Poor,Beginner,Average,Beginner,Average,Beginner,Poor,Beginner,Beginner,Average,Average,Average,Professional,Poor,Excellent,Poor,Application Support Engineer
Beginner,Intermediate,Beginner,Beginner,Beginner,Average,Professional,Not Interested,Excellent,Average,Professional,Poor,Average,Professional,Intermediate,Excellent,Beginner,Application Support Engineer
Not Interested,Professional,Not Interested,Beginner,Not Interested,Average,Not Interested,Poor,Beginner,Not Interested,Poor,Not Interested,Not Interested,Professional,Average,Excellent,Intermediate,Application Support Engineer
Average,Not Interested,Beginner,Poor,Poor,Average,Professional,Beginner,Poor,Excellent,Intermediate,Not Interested,Beginner,Professional,Average,Excellent,Beginner,Application Support Engineer
Beginner,Intermediate,Intermediate,Beginner,Average,Average,Average,Not Interested,Intermediate,Beginner,Poor,Professional,Average,Professional,Average,Excellent,Beginner,Application Support Engineer
Poor,Beginner,Beginner,Intermediate,Beginner,Average,Intermediate,Not Interested,Not Interested,Professional,Not Interested,Beginner,Beginner,Professional,Average,Excellent,Poor,Application Support Engineer
Beginner,Not Interested,Average,Not Interested,Professional,Average,Intermediate,Intermediate,Beginner,Average,Poor,Average,Not Interested,Professional,Professional,Excellent,Professional,Application Support Engineer
Excellent,Intermediate,Poor,Beginner,Intermediate,Average,Not Interested,Not Interested,Not Interested,Average,Average,Beginner,Intermediate,Professional,Beginner,Excellent,Intermediate,Application Support Engineer
Average,Poor,Poor,Excellent,Professional,Poor,Not Interested,Average,Professional,Intermediate,Beginner,Beginner,Poor,Not Interested,Beginner,Professional,Intermediate,Information Security Specialist
Intermediate,Average,Not Interested,Excellent,Professional,Intermediate,Poor,Professional,Professional,Not Interested,Average,Poor,Beginner,Poor,Average,Beginner,Beginner,Information Security Specialist
Average,Beginner,Professional,Excellent,Professional,Poor,Poor,Intermediate,Professional,Poor,Poor,Beginner,Not Interested,Intermediate,Professional,Not Interested,Poor,Information Security Specialist
Poor,Not Interested,Intermediate,Excellent,Professional,Intermediate,Average,Poor,Professional,Professional,Professional,Not Interested,Beginner,Excellent,Poor,Beginner,Intermediate,Information Security Specialist
Not Interested,Not Interested,Beginner,Excellent,Professional,Professional,Beginner,Average,Professional,Poor,Intermediate,Poor,Average,Beginner,Poor,Average,Not Interested,Information Security Specialist
Poor,Intermediate,Average,Excellent,Professional,Average,Intermediate,Poor,Professional,Poor,Poor,Average,Intermediate,Average,Intermediate,Poor,Beginner,Information Security Specialist
Not Interested,Intermediate,Average,Excellent,Professional,Beginner,Intermediate,Poor,Professional,Average,Poor,Intermediate,Poor,Not Interested,Beginner,Poor,Excellent,Information Security Specialist
Beginner,Excellent,Average,Excellent,Professional,Intermediate,Not Interested,Intermediate,Professional,Poor,Beginner,Poor,Professional,Intermediate,Not Interested,Beginner,Average,Information Security Specialist
Beginner,Average,Not Interested,Excellent,Professional,Beginner,Average,Average,Professional,Poor,Average,Not Interested,Intermediate,Intermediate,Poor,Not Interested,Beginner,Information Security Specialist
Average,Average,Poor,Excellent,Professional,Poor,Intermediate,Poor,Professional,Professional,Average,Average,Poor,Intermediate,Average,Intermediate,Not Interested,Information Security Specialist
Not Interested,Beginner,Average,Excellent,Professional,Intermediate,Poor,Intermediate,Professional,Average,Beginner,Poor,Intermediate,Average,Intermediate,Beginner,Not Interested,Information Security Specialist
Poor,Poor,Average,Excellent,Professional,Intermediate,Beginner,Beginner,Professional,Professional,Average,Beginner,Intermediate,Intermediate,Intermediate,Excellent,Average,Information Security Specialist
Not Interested,Beginner,Beginner,Excellent,Professional,Intermediate,Not Interested,Intermediate,Professional,Not Interested,Average,Professional,Beginner,Average,Professional,Beginner,Poor,Information Security Specialist
Average,Average,Beginner,Excellent,Professional,Poor,Average,Not Interested,Professional,Poor,Beginner,Beginner,Average,Beginner,Beginner,Not Interested,Professional,Information Security Specialist
Beginner,Average,Beginner,Excellent,Professional,Beginner,Poor,Beginner,Professional,Not Interested,Beginner,Average,Intermediate,Not Interested,Beginner,Poor,Professional,Information Security Specialist
Beginner,Beginner,Average,Excellent,Professional,Professional,Poor,Beginner,Professional,Intermediate,Average,Average,Professional,Average,Poor,Poor,Not Interested,Information Security Specialist
Poor,Beginner,Professional,Excellent,Professional,Intermediate,Average,Average,Professional,Not Interested,Excellent,Not Interested,Not Interested,Poor,Professional,Average,Intermediate,Information Security Specialist
Poor,Intermediate,Intermediate,Excellent,Professional,Poor,Not Interested,Intermediate,Professional,Average,Not Interested,Beginner,Not Interested,Poor,Poor,Excellent,Beginner,Information Security Specialist
Poor,Intermediate,Professional,Excellent,Professional,Average,Beginner,Beginner,Professional,Average,Beginner,Professional,Beginner,Intermediate,Professional,Beginner,Average,Information Security Specialist
Intermediate,Average,Poor,Excellent,Professional,Poor,Beginner,Excellent,Professional,Average,Intermediate,Not Interested,Average,Not Interested,Not Interested,Average,Excellent,Information Security Specialist
Intermediate,Average,Not Interested,Excellent,Professional,Excellent,Not Interested,Professional,Professional,Average,Not Interested,Professional,Poor,Professional,Not Interested,Not Interested,Poor,Information Security Specialist
Poor,Beginner,Average,Excellent,Professional,Average,Poor,Average,Professional,Intermediate,Beginner,Beginner,Average,Poor,Intermediate,Average,Average,Information Security Specialist
Poor,Not Interested,Intermediate,Excellent,Professional,Beginner,Average,Beginner,Professional,Poor,Not Interested,Average,Poor,Not Interested,Average,Average,Intermediate,Information Security Specialist
Poor,Average,Not Interested,Excellent,Professional,Average,Poor,Intermediate,Professional,Average,Intermediate,Beginner,Intermediate,Poor,Intermediate,Intermediate,Beginner,Information Security Specialist
Intermediate,Beginner,Intermediate,Excellent,Professional,Average,Intermediate,Not Interested,Professional,Poor,Professional,Not Interested,Beginner,Average,Intermediate,Beginner,Average,Information Security Specialist
Poor,Professional,Beginner,Excellent,Professional,Average,Average,Average,Professional,Not Interested,Poor,Beginner,Excellent,Professional,Professional,Average,Intermediate,Information Security Specialist
Beginner,Average,Average,Excellent,Professional,Beginner,Not Interested,Beginner,Professional,Professional,Not Interested,Poor,Average,Intermediate,Excellent,Average,Beginner,Information Security Specialist
Professional,Intermediate,Intermediate,Excellent,Professional,Professional,Not Interested,Beginner,Professional,Average,Intermediate,Beginner,Beginner,Average,Poor,Average,Intermediate,Information Security Specialist
Average,Not Interested,Not Interested,Excellent,Professional,Average,Not Interested,Not Interested,Professional,Average,Average,Intermediate,Intermediate,Not Interested,Beginner,Poor,Poor,Information Security Specialist
Poor,Intermediate,Average,Excellent,Professional,Average,Beginner,Professional,Professional,Beginner,Professional,Poor,Average,Excellent,Average,Poor,Professional,Information Security Specialist
Beginner,Beginner,Intermediate,Excellent,Professional,Average,Excellent,Beginner,Professional,Beginner,Average,Beginner,Poor,Poor,Not Interested,Beginner,Not Interested,Information Security Specialist
Excellent,Beginner,Average,Excellent,Professional,Intermediate,Not Interested,Average,Professional,Beginner,Poor,Poor,Beginner,Average,Poor,Professional,Average,Information Security Specialist
Not Interested,Intermediate,Beginner,Excellent,Professional,Professional,Beginner,Not Interested,Professional,Beginner,Intermediate,Poor,Intermediate,Poor,Poor,Intermediate,Average,Information Security Specialist
Average,Beginner,Average,Excellent,Professional,Not Interested,Beginner,Average,Professional,Beginner,Beginner,Not Interested,Beginner,Beginner,Poor,Intermediate,Beginner,Information Security Specialist
Average,Not Interested,Beginner,Excellent,Professional,Beginner,Professional,Poor,Professional,Poor,Average,Excellent,Professional,Intermediate,Beginner,Poor,Poor,Information Security Specialist
Not Interested,Professional,Not Interested,Excellent,Professional,Intermediate,Intermediate,Beginner,Professional,Poor,Professional,Beginner,Professional,Not Interested,Beginner,Professional,Not Interested,Information Security Specialist
Professional,Not Interested,Poor,Excellent,Professional,Beginner,Average,Intermediate,Professional,Average,Professional,Excellent,Not Interested,Not Interested,Average,Intermediate,Average,Information Security Specialist
Professional,Intermediate,Poor,Excellent,Professional,Intermediate,Poor,Average,Professional,Poor,Beginner,Intermediate,Average,Not Interested,Poor,Beginner,Intermediate,Information Security Specialist
Beginner,Poor,Poor,Excellent,Professional,Not Interested,Professional,Beginner,Professional,Average,Beginner,Average,Not Interested,Not Interested,Average,Excellent,Excellent,Information Security Specialist
Beginner,Intermediate,Not Interested,Excellent,Professional,Beginner,Average,Average,Professional,Average,Poor,Average,Poor,Professional,Average,Not Interested,Intermediate,Information Security Specialist
Not Interested,Intermediate,Not Interested,Excellent,Professional,Average,Professional,Beginner,Professional,Professional,Professional,Average,Professional,Not Interested,Intermediate,Not Interested,Poor,Information Security Specialist
Excellent,Average,Excellent,Excellent,Professional,Intermediate,Beginner,Average,Professional,Excellent,Average,Average,Professional,Average,Beginner,Beginner,Not Interested,Information Security Specialist
Not Interested,Average,Average,Excellent,Professional,Average,Not Interested,Beginner,Professional,Not Interested,Professional,Intermediate,Excellent,Average,Beginner,Beginner,Intermediate,Information Security Specialist
Poor,Average,Intermediate,Excellent,Professional,Beginner,Intermediate,Professional,Professional,Excellent,Beginner,Poor,Average,Intermediate,Intermediate,Poor,Intermediate,Information Security Specialist
Beginner,Not Interested,Poor,Excellent,Professional,Poor,Poor,Professional,Professional,Not Interested,Beginner,Average,Beginner,Beginner,Beginner,Average,Poor,Information Security Specialist
Not Interested,Beginner,Average,Excellent,Professional,Intermediate,Average,Beginner,Professional,Intermediate,Not Interested,Excellent,Intermediate,Professional,Not Interested,Intermediate,Intermediate,Information Security Specialist
Professional,Average,Average,Excellent,Professional,Not Interested,Beginner,Intermediate,Professional,Not Interested,Poor,Poor,Average,Not Interested,Average,Poor,Average,Information Security Specialist
Excellent,Poor,Beginner,Excellent,Professional,Poor,Poor,Beginner,Professional,Poor,Intermediate,Not Interested,Average,Poor,Poor,Beginner,Beginner,Information Security Specialist
Average,Beginner,Beginner,Excellent,Professional,Not Interested,Intermediate,Professional,Professional,Poor,Beginner,Intermediate,Beginner,Beginner,Intermediate,Average,Average,Information Security Specialist
Not Interested,Professional,Beginner,Excellent,Professional,Professional,Beginner,Poor,Professional,Beginner,Average,Poor,Poor,Beginner,Average,Poor,Poor,Information Security Specialist
Poor,Intermediate,Professional,Excellent,Professional,Poor,Beginner,Poor,Professional,Intermediate,Beginner,Beginner,Average,Professional,Intermediate,Beginner,Intermediate,Information Security Specialist
Poor,Not Interested,Excellent,Excellent,Professional,Poor,Professional,Not Interested,Professional,Average,Poor,Beginner,Professional,Beginner,Intermediate,Beginner,Average,Information Security Specialist
Not Interested,Average,Average,Excellent,Professional,Average,Average,Poor,Professional,Intermediate,Beginner,Professional,Not Interested,Beginner,Average,Professional,Not Interested,Information Security Specialist
Professional,Excellent,Not Interested,Excellent,Professional,Beginner,Beginner,Not Interested,Professional,Professional,Average,Poor,Average,Intermediate,Poor,Not Interested,Poor,Information Security Specialist
Average,Beginner,Beginner,Excellent,Professional,Average,Excellent,Intermediate,Professional,Average,Average,Average,Beginner,Average,Intermediate,Average,Intermediate,Information Security Specialist
Not Interested,Average,Beginner,Excellent,Professional,Beginner,Intermediate,Intermediate,Professional,Beginner,Beginner,Intermediate,Professional,Poor,Not Interested,Excellent,Excellent,Information Security Specialist
Poor,Beginner,Poor,Excellent,Professional,Beginner,Not Interested,Intermediate,Professional,Beginner,Beginner,Average,Beginner,Professional,Intermediate,Excellent,Beginner,Information Security Specialist
Beginner,Intermediate,Professional,Excellent,Professional,Not Interested,Professional,Excellent,Professional,Professional,Average,Not Interested,Professional,Not Interested,Not Interested,Excellent,Poor,Information Security Specialist
Poor,Beginner,Poor,Excellent,Professional,Average,Intermediate,Not Interested,Professional,Not Interested,Not Interested,Intermediate,Professional,Average,Poor,Poor,Average,Information Security Specialist
Beginner,Professional,Beginner,Excellent,Professional,Beginner,Average,Beginner,Professional,Not Interested,Intermediate,Not Interested,Average,Beginner,Intermediate,Average,Professional,Information Security Specialist
Excellent,Beginner,Not Interested,Excellent,Professional,Beginner,Beginner,Poor,Professional,Professional,Beginner,Average,Beginner,Professional,Poor,Not Interested,Poor,Information Security Specialist
Average,Beginner,Beginner,Excellent,Professional,Beginner,Poor,Beginner,Professional,Not Interested,Not Interested,Intermediate,Beginner,Poor,Not Interested,Poor,Not Interested,Information Security Specialist
Beginner,Beginner,Professional,Excellent,Professional,Average,Intermediate,Not Interested,Professional,Poor,Intermediate,Poor,Intermediate,Poor,Beginner,Intermediate,Poor,Information Security Specialist
Average,Beginner,Professional,Excellent,Professional,Average,Beginner,Poor,Professional,Average,Average,Average,Intermediate,Poor,Average,Not Interested,Poor,Information Security Specialist
Not Interested,Beginner,Beginner,Excellent,Professional,Not Interested,Poor,Intermediate,Professional,Not Interested,Intermediate,Poor,Intermediate,Not Interested,Beginner,Poor,Average,Information Security Specialist
Average,Poor,Excellent,Excellent,Professional,Poor,Average,Poor,Professional,Average,Intermediate,Beginner,Professional,Poor,Intermediate,Average,Beginner,Information Security Specialist
Average,Intermediate,Average,Excellent,Professional,Average,Intermediate,Average,Professional,Not Interested,Average,Average,Average,Not Interested,Professional,Average,Average,Information Security Specialist
Beginner,Beginner,Professional,Excellent,Professional,Excellent,Beginner,Average,Professional,Poor,Average,Not Interested,Beginner,Average,Average,Poor,Intermediate,Information Security Specialist
Beginner,Intermediate,Beginner,Excellent,Professional,Not Interested,Excellent,Beginner,Professional,Intermediate,Beginner,Average,Average,Intermediate,Not Interested,Average,Intermediate,Information Security Specialist
Average,Excellent,Beginner,Excellent,Professional,Professional,Not Interested,Intermediate,Professional,Excellent,Beginner,Beginner,Not Interested,Average,Average,Average,Intermediate,Information Security Specialist
Average,Intermediate,Average,Excellent,Professional,Excellent,Intermediate,Beginner,Professional,Beginner,Professional,Average,Average,Beginner,Not Interested,Average,Average,Information Security Specialist
Intermediate,Professional,Poor,Excellent,Professional,Not Interested,Intermediate,Intermediate,Professional,Intermediate,Professional,Average,Intermediate,Poor,Professional,Intermediate,Beginner,Information Security Specialist
Poor,Intermediate,Beginner,Excellent,Professional,Poor,Intermediate,Intermediate,Professional,Intermediate,Beginner,Beginner,Beginner,Intermediate,Average,Beginner,Professional,Information Security Specialist
Beginner,Average,Professional,Excellent,Professional,Intermediate,Poor,Intermediate,Professional,Average,Average,Average,Excellent,Average,Poor,Intermediate,Average,Information Security Specialist
Average,Not Interested,Poor,Excellent,Professional,Average,Beginner,Beginner,Professional,Excellent,Poor,Average,Not Interested,Beginner,Beginner,Poor,Intermediate,Information Security Specialist
Poor,Average,Poor,Excellent,Professional,Beginner,Average,Not Interested,Professional,Poor,Intermediate,Beginner,Not Interested,Beginner,Professional,Poor,Professional,Information Security Specialist
Beginner,Not Interested,Average,Excellent,Professional,Professional,Excellent,Not Interested,Professional,Poor,Intermediate,Poor,Intermediate,Professional,Intermediate,Professional,Intermediate,Information Security Specialist
Average,Poor,Not Interested,Excellent,Professional,Average,Average,Average,Professional,Not Interested,Poor,Not Interested,Average,Beginner,Beginner,Beginner,Poor,Information Security Specialist
Beginner,Beginner,Not Interested,Excellent,Professional,Not Interested,Average,Excellent,Professional,Intermediate,Excellent,Not Interested,Average,Professional,Average,Average,Not Interested,Information Security Specialist
Beginner,Not Interested,Average,Excellent,Professional,Professional,Poor,Intermediate,Professional,Intermediate,Poor,Intermediate,Professional,Beginner,Intermediate,Beginner,Excellent,Information Security Specialist
Beginner,Intermediate,Beginner,Excellent,Professional,Poor,Not Interested,Intermediate,Professional,Not Interested,Not Interested,Poor,Beginner,Intermediate,Beginner,Average,Beginner,Information Security Specialist
